id,name,class,age
0,Camilo Lopez,business,21
1,Lionel Messi,low-cost,32
2,Leonardo Di Caprio,low-cost,40
3,Hernan Valdivieso,low-cost,18
4,Fernando Pieressa,low-cost,33
5,Rodrigo Hanuch,business,22
6,Enzo Tamburini,business,25
7,Benjamin Carcamo,economy,51
8,Nebil Kawas,economy,16
9,Jaime Castro,economy,23
10,Felipe Del Rio,business,45
11,Tony Stark,business,37
12,Bruce Wayne,economy,14
13,Lucia Godoy Alcayaga,economy,16
14,Neftali Reyes,premium,44
15,Warren Buffet,low-cost,21
16,Bill Gates,low-cost,17
17,Steve Jobs,low-cost,41
18,Mark Zuckenberg,low-cost,30
19,Amancio Ortega,low-cost,30
20,Carlos Slim,economy,8
21,Junior Playboy,low-cost,51
22,Bruce Myers,low-cost,26
23,Michael Moore,economy,20
24,Jonathan Thompson,low-cost,4
25,Dawn Snyder,economy,31
26,Mrs. Sherri Williams DDS,business,37
27,Elaine Clark,business,29
28,Dominique Ball,economy,49
29,Brittany Ross,low-cost,36
30,Bonnie Bruce,economy,42
31,Nicholas Martin,business,44
32,Stacie Garcia,economy,39
33,Michael Palmer,premium,43
34,Caitlin Moore,business,18
35,Scott Lewis,economy,36
36,Jessica Martin,economy,26
37,Tiffany Flores,business,42
38,Paul Pineda,business,31
39,Ashley Bryan,premium,22
40,Michael Kim,business,29
41,Blake Donovan,premium,29
42,Michael Sanchez,premium,31
43,Christina Martinez,premium,21
44,Seth Dodson,business,60
45,Michael Morrison,business,39
46,Chloe Fowler,economy,30
47,Jose Harris,premium,25
48,Tracey Garcia,low-cost,14
49,Jeremy Brown,economy,12
50,Phillip Finley,economy,29
51,James Greene,economy,12
52,Cheryl Jones,economy,62
53,Pamela Gill,low-cost,21
54,Holly Carter,economy,31
55,Melvin Blair,economy,18
56,Alexander David,economy,39
57,Julia Garcia,business,33
58,Daniel Lin,low-cost,23
59,Terry Sanchez,low-cost,43
60,Brandi Lopez,business,25
61,Bryan Stevenson,low-cost,35
62,Justin Christensen,low-cost,41
63,David Santos,premium,46
64,Adam Miles,business,43
65,Jaime Banks,economy,38
67,Jeremy Gray,low-cost,40
68,David Hawkins,business,34
69,Joshua Erickson,business,46
70,Reginald Johnson,low-cost,24
71,Stephanie Bell,business,19
72,Mark Thomas,low-cost,35
73,Timothy Rogers,economy,35
74,Tina Parker,economy,41
75,Jacob Sanchez,low-cost,53
76,Jorge Weaver,premium,23
77,Michele Massey,low-cost,25
78,James Bray,business,21
79,Jose Johnson,economy,40
80,Rebecca Moore,economy,31
81,Susan Hill,low-cost,35
82,Leslie Dean,premium,57
83,Jacob Adams,business,40
84,Yolanda Holt,business,28
85,Anthony Walsh,economy,42
86,Michael Williams,low-cost,29
87,Nicole Williams,premium,26
88,Maria Nunez,low-cost,49
89,Cathy Pena,low-cost,37
90,Eric Alexander,low-cost,33
91,Timothy Douglas,economy,39
92,Laurie Mitchell,economy,49
93,Kathleen Williams,premium,26
94,Jesse Schmidt,economy,31
95,Anna Bender,business,35
96,Thomas James,low-cost,34
97,David Taylor,low-cost,65
98,Monica Coffey,business,27
99,Kelly Fleming,economy,44
100,Amanda Friedman,economy,41
101,Mallory Michael,business,27
102,James Walker,economy,45
103,Brenda Jordan,economy,42
104,Nicholas Gibson,low-cost,23
105,Larry Hudson,low-cost,19
106,Amanda Rose,low-cost,20
107,Brendan Morton,economy,38
108,Bryan Glover,low-cost,18
109,Dylan Hunter,low-cost,55
110,Eric Chan,economy,33
111,Andrea Turner,low-cost,28
112,Blake Carr,economy,47
113,Kenneth Torres,economy,34
114,Kristen Price,low-cost,21
115,William Gomez,premium,31
116,Daniel Keller,low-cost,21
117,Heather Phillips,low-cost,23
118,William Giles,low-cost,24
119,Timothy Lloyd,low-cost,32
120,Brittany Reyes,business,45
121,Laura Mcdonald,low-cost,10
122,John Nelson,economy,27
123,Patrick Johnson,low-cost,32
124,Bonnie Clark,business,38
125,Kevin Atkinson,economy,49
126,Denise York,low-cost,35
127,Brenda Hayes,economy,21
128,Darlene Barnett,low-cost,32
129,Anna Green,economy,31
130,Megan Alexander,low-cost,32
131,Laura Steele,economy,44
132,Robert Wade DVM,economy,30
133,Keith Pugh,low-cost,25
134,Samantha Wise,premium,42
135,Steven Monroe,business,14
136,Thomas Carter,economy,47
137,Joseph Rodriguez,business,42
138,Melissa Johnson,low-cost,42
139,Priscilla Frederick,economy,34
140,Phyllis Clark,low-cost,23
141,Melody Herrera,low-cost,9
142,Miguel Franklin,premium,48
143,Elizabeth Navarro,low-cost,30
144,Anthony Watts,economy,35
145,Jamie Clark,low-cost,40
146,Rachel Dunlap,economy,22
147,Patricia Colon,low-cost,18
148,Eric Young,economy,33
149,Ashley Murphy,premium,32
150,Caroline Lewis,business,23
151,Christopher Mcgrath,economy,46
152,Steve Villarreal,low-cost,16
153,Alicia Love,economy,16
154,Jennifer Mccoy,premium,22
155,Jennifer Ali,economy,45
156,Daniel Thomas,low-cost,34
157,Robert Moore,business,44
158,Susan Williams,economy,42
159,William Martinez,economy,24
160,Taylor Underwood,business,35
161,Michael Bowman,economy,45
162,Natalie Grant,low-cost,13
163,Matthew Diaz,business,32
164,Raymond Black,low-cost,45
165,Elizabeth Craig,business,11
166,Kathryn Hooper,low-cost,35
167,Brian Marshall,low-cost,65
168,Kara Valdez,low-cost,45
169,Zachary Conley,economy,31
170,Hailey Gallegos,economy,34
171,Benjamin Green,low-cost,33
172,Travis Brown,premium,16
173,William Evans,economy,16
174,Aaron Miller,low-cost,17
175,Mary King,low-cost,48
176,Joshua Mendoza,economy,33
177,Reginald Stark,business,22
178,Jonathon Huang,business,41
179,Lauren Hernandez,economy,25
180,Jerry Gray,business,40
181,Harold Jensen MD,premium,19
182,Chad Pham,premium,68
183,Vanessa Manning,low-cost,36
184,Kirsten King,low-cost,29
185,Melissa Baker,economy,71
186,Fernando Pratt,economy,39
187,Anthony Reed,economy,31
188,Anthony King,low-cost,28
189,Eric Brown,business,47
190,Amy Crane,economy,28
191,Andrew Christian,business,34
192,Lacey Jimenez,low-cost,38
193,Angela Newton,economy,31
194,Shannon Sloan,economy,36
195,Julia Roberts DDS,business,42
196,Joseph Dawson,business,17
197,Christine Porter,economy,68
198,Jeffrey Martinez,low-cost,37
199,Deborah Luna,low-cost,52
200,Brad Lynch,economy,27
201,Travis Leblanc,business,44
202,David Dennis,business,30
203,Kimberly Christensen DDS,business,16
204,Michael Wright,economy,33
205,Rachel Ferguson,economy,22
206,Mr. Brian Riley II,business,28
207,Victoria Richardson,economy,48
208,Shannon Gonzales,economy,17
209,Matthew Kidd,premium,27
210,Stephen Santos,low-cost,12
211,Thomas Williams,premium,28
212,Erik Williams,economy,41
213,Debra Smith,premium,46
214,Susan Miller,premium,32
215,Elizabeth Graham,low-cost,36
216,Robert Guerra,premium,13
217,Steven Hunt,low-cost,16
218,Christopher Wright,low-cost,42
219,Ronald Quinn,economy,33
220,Rhonda Garza,economy,50
221,Mark Delgado,low-cost,13
222,William Chandler,premium,39
223,Melissa Martin,premium,42
224,Kent Phelps,low-cost,33
225,Dalton Ellis,low-cost,26
226,Seth Ryan,low-cost,17
227,Tammy Gilbert,economy,46
228,Joseph Sims,economy,24
229,Dana Moore,business,33
230,Larry Smith,premium,23
231,Taylor Cooper,premium,31
232,Christopher Thomas,economy,19
233,Allison Thompson,low-cost,23
234,Steven Jones,economy,39
235,Craig Price DVM,low-cost,40
236,William Dawson,economy,52
237,Sarah Wallace,low-cost,24
238,Jason Paul,business,42
239,Nathan Russell,low-cost,37
240,Desiree Brown,business,20
241,Derek Frank,economy,14
242,Joshua Conway,business,57
243,Gail Grant,economy,39
244,Christopher Vargas,low-cost,34
245,Charles Jones,premium,19
246,Edward Blankenship,low-cost,43
247,Shawn Brown,economy,35
248,Dylan Dunn,business,52
249,William Bryan,premium,39
250,Austin Benton,low-cost,17
251,James Hayes,economy,36
252,Sharon Lang,low-cost,23
253,Dale Rodriguez,business,41
254,Michael Scott,business,23
255,Christian Lewis,business,39
256,Robert Hudson,business,27
257,Phillip Hood,low-cost,16
258,Lindsey Wilson,low-cost,20
259,Allison Thomas,business,45
260,Joseph Henry,economy,20
261,John Chapman,low-cost,22
262,Mark Morris,low-cost,45
263,Ricardo Tyler,premium,35
264,Mike Castaneda,economy,20
265,Jonathan Underwood,economy,24
266,Pamela Adkins,low-cost,57
267,Felicia Clark,economy,33
268,Matthew Cooper,business,28
269,Joseph Hamilton,premium,19
270,Patrick May,low-cost,39
271,Amanda Johnson,economy,27
272,Joshua Jones,low-cost,48
273,Heather Stephens,low-cost,28
274,Laura Gonzales,low-cost,43
275,Andrew Cabrera,economy,35
276,Franklin Gomez,premium,32
277,Jennifer Mccarthy,low-cost,41
278,David Mclean DDS,economy,48
279,Christopher Osborn,economy,40
280,Erin Torres MD,low-cost,37
281,Tracy Watts,economy,27
282,Heidi Adams,premium,34
283,Jasmine Horne,economy,38
284,Crystal Sanders,low-cost,4
285,Jennifer Howard,business,22
286,Norma Smith,low-cost,34
287,Adam Smith,premium,23
288,Natasha Huber,premium,15
289,Amy Fitzgerald,business,39
290,Matthew Lee,economy,24
291,Jennifer Foster,economy,53
292,Dustin Coffey,low-cost,30
293,Diana Atkinson,low-cost,49
294,Cheryl Stanton,economy,27
295,Michael Coleman,economy,55
296,Brittany Wade,business,54
297,Cynthia Patterson,business,21
298,Emily Maynard,business,41
299,Alec Stewart,premium,30
300,Andrew Burns,economy,19
301,Kimberly Clayton,business,24
302,Brenda Strong,business,41
303,Matthew Hunt,low-cost,36
304,Jerry Silva,premium,30
305,Kevin Williams,low-cost,21
306,Ryan Mora,low-cost,31
307,Francisco Farrell,low-cost,37
308,Richard Rogers,low-cost,23
309,Diana Bryant,economy,29
310,Robert Powell,low-cost,46
311,Christina Alexander,business,12
312,Derek Rivera,economy,25
313,Patricia Martinez,low-cost,32
314,Michael Oneill,premium,31
315,Paul Sandoval,low-cost,25
316,Christopher Howell,economy,40
317,Amanda Anderson,premium,42
318,Amber Davis,low-cost,50
319,Wanda Oconnor,economy,29
320,Lynn Barajas,business,14
321,Gary Sanchez,economy,25
322,Nicholas Farrell,low-cost,58
323,Karen Newton,economy,35
324,David Bray,low-cost,39
325,Mark Anderson,business,29
326,Kara Santos,low-cost,47
327,Elizabeth Hardy,premium,32
328,Renee Jennings,low-cost,46
329,Peter Cook,low-cost,31
330,Renee Peterson,premium,26
331,David Wood,economy,11
332,Annette Black,economy,31
333,Ms. Jennifer Pugh,business,35
334,Danielle James,business,35
335,Lauren Blankenship,economy,49
336,Tyler Henderson,economy,31
337,Mark Torres,premium,33
338,Matthew Rivera,economy,33
339,Daniel Nichols,business,51
340,David Long,economy,22
341,Shawn Hines,low-cost,25
342,Larry Cruz,economy,46
343,Katherine Lang,business,38
344,Shelly Perez,economy,35
345,Melissa Guerra,business,12
346,Christopher Jones,economy,31
347,Christina Perez,low-cost,35
348,Amber Bird DDS,business,40
349,Brian Leonard,economy,29
350,Tyler Peck,economy,40
351,Phillip Nelson,economy,42
352,Jessica Webb,low-cost,28
353,John Harrison,premium,41
354,Deborah Wheeler,low-cost,11
355,Kent Mckenzie,premium,28
356,Ivan Bond,low-cost,13
357,Brandi Flores,economy,11
358,Barbara Hill,business,36
359,Haley Salas,premium,43
360,Timothy Schwartz,low-cost,27
361,Thomas Ortega,low-cost,43
362,Mr. Daniel Cabrera MD,low-cost,17
363,Cynthia Wright,premium,13
364,Bryan Swanson,low-cost,43
365,Penny Valdez,low-cost,51
366,Bruce Berry,premium,32
367,Kelly Ramos,economy,55
368,Christopher Lin,low-cost,33
369,Janice Hall,premium,6
370,Wendy Robertson,economy,38
371,John Nolan,business,27
372,Timothy Adams,low-cost,21
373,Diane Weber,business,28
374,Eric Johnson,low-cost,56
375,Heather Koch,low-cost,35
376,Susan Carroll,economy,27
377,William Washington,business,21
378,Hannah Zimmerman,economy,29
379,Jaime Brown,economy,25
380,Jessica Lee,business,13
381,Michelle Johnson,economy,36
382,Matthew Berger,economy,12
383,Kevin Grant,low-cost,41
384,Andrew Patel,economy,32
385,Lisa Cook,low-cost,39
386,Greg Wagner,premium,35
387,Antonio Phillips,premium,21
388,Laura Phillips,economy,29
389,Jason Nguyen,economy,33
390,Christina Bowen,economy,34
391,Steven Walton,economy,30
392,Rachel Sherman PhD,low-cost,41
393,Jacqueline Elliott,business,41
394,Zachary Rodriguez,low-cost,26
395,Cameron Guzman,low-cost,34
396,Jennifer Berry,economy,30
397,Jaime Maxwell,economy,28
398,Stacy Valenzuela,business,31
399,Matthew Perez,business,25
400,Katie Villanueva,low-cost,50
401,Michael Navarro,low-cost,56
402,Ricardo Lee,low-cost,49
403,David Herrera,economy,62
404,Jennifer Patterson,economy,28
405,Carolyn Hill,low-cost,30
406,Robert Williamson,economy,13
407,Kim Fuller,low-cost,24
408,Ana Kirby,business,42
409,Kenneth Hernandez,business,43
410,Matthew Turner,economy,20
411,Anna Everett,low-cost,33
412,Heidi Dean,low-cost,39
413,Elizabeth Velez,premium,56
414,Christina Hartman,economy,9
415,Sarah Harris,economy,49
416,Wendy Gallegos,low-cost,42
417,Diana Smith,business,25
418,Tara Holmes,low-cost,18
419,Vincent Lopez,low-cost,11
420,Lisa Allen,premium,9
421,Nicholas Kerr,economy,25
422,Kathleen Lee,business,35
423,Kelly Winters,low-cost,29
424,Mathew Martinez,economy,19
425,John Thomas,low-cost,26
426,Jennifer Davis,premium,35
427,James Stone,low-cost,41
428,Michael Kelley,economy,27
429,Patricia Short,low-cost,21
430,Terri Turner,premium,25
431,Nicole Foster,low-cost,28
432,Kyle Campbell,premium,39
433,Randy Armstrong,low-cost,33
434,Dawn Cruz,economy,27
435,Evan Lopez,business,44
436,Kelly Acevedo,low-cost,45
437,Joan Soto,business,13
438,Sabrina Vaughn,low-cost,11
439,Jonathan Morgan,business,45
440,Scott Ryan,economy,29
441,Claire Allen,business,36
442,Deanna Campbell,business,21
443,Alyssa Davis,economy,38
444,Valerie Dunn,low-cost,23
445,Beth Cole,low-cost,27
446,Jonathan Mendez,economy,39
447,Katherine Clarke,premium,10
448,Kristy Harris,economy,43
449,Vincent Shepherd,business,20
450,Theresa Rodriguez,low-cost,41
451,Blake Schwartz,economy,34
452,Brian Miller,economy,36
453,Joseph Lee,economy,31
454,Samantha Griffin,economy,40
455,Robert Williams,premium,17
456,Cody Hendrix,business,15
457,Tanya Joyce,economy,43
458,Elizabeth Obrien,economy,34
459,Emily Shepard,economy,76
460,Nathan Smith,economy,45
461,Zachary Brown,low-cost,33
462,Matthew George,low-cost,32
463,Teresa Baker,economy,40
464,Sheila Silva,low-cost,33
465,Ashley Brown,low-cost,33
466,Kelli Delgado MD,economy,34
467,Kari Boyer,low-cost,22
468,Roy Gates,business,33
469,Marvin Baker,business,30
470,Jacqueline Reynolds,business,31
471,Stephanie Meyer,business,15
472,Chris Castaneda,business,48
473,Mia Ortiz,economy,20
474,Carrie Villa,economy,15
475,Anthony Harris,premium,31
476,Tara Vargas,low-cost,30
477,Chelsea Johnson,economy,4
478,Patrick Crawford,low-cost,47
479,Jesse Hopkins,economy,19
480,Christian Moran,economy,35
481,Aaron Nguyen,low-cost,42
482,Barbara Wiley,business,24
483,Stephanie Williams,business,53
484,Robert Palmer,economy,21
485,Robert Zavala,low-cost,57
486,Christopher Williams,low-cost,63
487,Eric Braun,low-cost,30
488,Rebecca Holmes,low-cost,42
489,Ethan Russell,economy,34
490,Natalie Nunez,low-cost,16
491,Ronald Griffin,low-cost,11
492,George Foster,economy,11
493,April Brown,economy,30
494,Neil Clarke,business,28
495,Casey King,economy,51
496,Sarah Dennis,low-cost,30
497,Tyler Hobbs,economy,16
498,Patricia Hampton,premium,20
