id,name,class,age
0,Alonso Lopez,business,11
1,Lionel Messi,low-cost,32
2,Leonardo Di Caprio,low-cost,40
3,Hernan Valdivieso,low-cost,18
4,Fernando Pieressa,low-cost,33
5,Rodrigo Hanuch,business,22
6,Enzo Tamburini,business,25
7,Benjamin Carcamo,economy,51
8,Nebil Kawas,economy,16
9,Jaime Castro,economy,23
10,Felipe Del Rio,business,45
11,Tony Stark,business,37
12,Bruce Wayne,economy,14
13,Lucia Godoy Alcayaga,economy,16
14,Neftali Reyes,premium,44
15,Warren Buffet,low-cost,21
16,Bill Gates,low-cost,17
17,Steve Jobs,low-cost,41
18,Mark Zuckenberg,low-cost,30
19,Amancio Ortega,low-cost,30
20,Carlos Slim,economy,8
21,Scott Richardson,business,54
22,David Sims,business,32
23,James Franco,low-cost,38
24,Kyle Anderson,low-cost,40
25,Kendra Wright,low-cost,53
26,Diana Lawrence,low-cost,24
27,Mrs. Lisa Price,low-cost,21
28,Matthew Brown,economy,23
29,Amanda Mccall,economy,36
30,Julia Francis,premium,50
31,Jon Jackson,low-cost,37
32,Kristin Hahn,economy,27
33,Robert Peters,premium,54
34,Paul Hicks,business,57
35,Jessica Stephens,low-cost,33
36,Brianna Medina,economy,38
37,Hunter Villanueva,business,40
38,Laura Middleton,business,37
39,Deborah Cobb,business,34
40,Sean Trujillo,economy,31
41,Jesus Spencer,business,39
42,Barbara Meza,low-cost,44
43,Michelle Miller,economy,42
44,Robert Norman,premium,34
45,Cindy Nash,economy,16
46,Erin Dougherty,business,12
47,David Gonzalez,low-cost,3
48,Sarah Jones,economy,25
49,Jessica Newman,low-cost,43
50,Sarah Sawyer,low-cost,36
51,Chad Gibson,low-cost,49
52,Debra Sanders,low-cost,22
53,Steven Johnson,business,31
54,Brandi Smith,economy,39
55,Danielle Jones,business,39
56,Austin Walker,business,22
57,Mary Bryan,low-cost,43
58,Lauren Love,business,25
59,Angela Tapia,low-cost,44
60,Tracy Stewart,economy,10
61,Gregory Shields,low-cost,42
62,Jennifer Nelson DDS,low-cost,21
63,Veronica Valdez,economy,41
64,Debra Johnson,low-cost,35
65,Adam Gomez,economy,48
66,Ronald Rios,business,9
67,Kelli Ross,low-cost,50
68,Kenneth Rodriguez,premium,34
69,Mark Garcia,low-cost,33
70,Steven Thompson,business,30
71,Zachary Jensen,business,43
72,Ryan Walker,business,33
73,Alexander Hughes,low-cost,48
74,Katelyn Herrera,economy,45
75,Mary Henry,business,16
76,Theresa Erickson,business,43
77,Kristy Campbell,low-cost,45
78,Samuel Gomez,premium,29
79,Jason Boyd,economy,48
80,Kaitlyn Snyder,economy,24
81,Andrew Webb,low-cost,38
82,Ashley Diaz,premium,43
83,Steven Kennedy,economy,35
84,Cynthia Howard,premium,60
85,Lisa Nelson,business,50
86,Nancy Bradley,low-cost,28
87,Felicia Martin,economy,33
88,Calvin Barnett,economy,30
89,Anna Braun,economy,45
90,Mr. Hunter White,economy,13
91,Alexander Riley,business,33
92,Tiffany Martin,economy,52
93,Erica Jones,premium,17
94,Barbara Nunez,low-cost,11
95,Samuel Callahan,economy,35
96,Lisa Wilson,premium,18
97,Lydia Joyce,low-cost,36
98,Amy Wilson,economy,24
99,Erin Jensen,economy,54
100,Brenda Willis,business,36
101,Alejandra Davis,low-cost,27
102,Christopher Cooley,low-cost,46
103,Alexandria Noble,low-cost,48
104,James Sullivan,business,28
105,Ronald Bradshaw,low-cost,56
106,Kristi Villanueva,low-cost,45
107,Brittany Jones,low-cost,19
108,Andrew Williams,premium,38
